, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz,mouth,y,y_pre_label
135,-0.007,0.248,9.3,52.4,445.0,0.106,-0.026,0.028,2.5,1,1
136,-0.02,0.239,8.8,53.7,442.1,0.109,-0.025,0.034,2.2,1,1
137,0.008,0.254,8.3,55.2,442.3,0.112,-0.029,0.043,2.1,1,1
138,0.005,0.253,8.0,55.3,440.3,0.109,-0.033,0.052,1.9,1,1
139,0.001,0.262,8.0,55.6,437.6,0.118,-0.028,0.061,1.9,1,1
140,-0.012,0.259,8.3,56.6,436.0,0.129,-0.025,0.07,2.2,1,1
141,0.01,0.271,8.9,56.9,434.1,0.124,-0.02,0.082,2.3,1,1
142,0.026,0.288,10.1,56.9,432.8,0.132,-0.018,0.093,2.4,1,1
143,-0.028,0.334,12.1,56.9,429.5,0.146,-0.008,0.112,1.9,1,1
144,-0.007,0.32,14.2,59.1,434.0,0.162,-0.009,0.133,2.1,1,1
145,-0.015,0.325,16.4,61.0,440.2,0.184,-0.008,0.17,2.0,1,1
146,0.006,0.305,18.4,61.3,442.4,0.169,-0.011,0.207,1.7,1,1
147,0.002,0.338,20.6,60.9,445.3,0.177,-0.005,0.235,1.3,1,1
148,-0.021,0.342,22.5,59.7,445.7,0.16,-0.003,0.258,0.9,1,1
149,-0.029,0.333,24.0,58.2,444.5,0.158,-0.001,0.277,1.2,1,1
150,-0.025,0.342,24.6,56.9,438.5,0.178,-0.013,0.29,1.6,1,1
151,-0.008,0.355,25.1,56.3,433.6,0.202,-0.021,0.299,2.8,1,1
152,0.003,0.337,25.9,56.0,432.3,0.196,-0.024,0.304,3.2,1,1
153,-0.021,0.352,26.8,55.9,434.0,0.209,-0.035,0.31,2.9,1,1
154,-0.017,0.356,27.1,55.9,432.8,0.21,-0.032,0.311,2.9,1,1
155,-0.023,0.345,27.2,56.6,433.8,0.204,-0.035,0.31,3.3,1,1
156,-0.029,0.361,27.2,57.1,431.9,0.201,-0.029,0.308,3.1,1,1
157,-0.05,0.344,27.2,58.9,434.9,0.215,-0.023,0.308,3.1,1,1
158,-0.046,0.332,26.8,60.8,436.1,0.209,-0.023,0.314,2.6,1,1
159,-0.018,0.339,26.0,60.7,432.0,0.19,-0.012,0.316,2.4,1,1
160,-0.035,0.335,25.8,60.7,432.9,0.181,-0.014,0.317,2.1,1,1
161,-0.05,0.343,25.7,60.5,434.7,0.183,-0.01,0.313,2.1,1,1
162,-0.035,0.337,25.8,60.9,438.8,0.189,-0.009,0.31,1.9,1,1
163,-0.03,0.324,25.6,61.0,440.3,0.194,-0.007,0.307,2.2,1,1
164,-0.043,0.324,25.5,61.0,439.5,0.192,-0.004,0.312,2.0,1,1
165,-0.024,0.33,25.3,60.5,436.3,0.183,-0.005,0.314,2.2,1,1
166,-0.022,0.308,25.7,61.4,441.9,0.195,-0.017,0.317,2.2,1,1
167,-0.013,0.32,25.9,60.3,438.2,0.173,-0.026,0.317,2.2,1,1
168,-0.001,0.302,26.4,60.7,442.1,0.18,-0.04,0.316,1.8,1,1
169,0.007,0.312,26.2,60.8,442.5,0.184,-0.041,0.314,2.0,1,1
170,0.003,0.302,25.8,60.8,442.8,0.176,-0.044,0.311,2.2,1,1
171,0.002,0.306,25.4,60.5,443.2,0.181,-0.044,0.306,2.3,1,1
172,0.017,0.301,24.9,59.9,442.2,0.167,-0.049,0.303,2.3,1,1
173,0.008,0.297,24.7,59.6,442.9,0.166,-0.058,0.3,2.7,1,1
174,0.01,0.323,24.2,58.7,442.1,0.168,-0.065,0.298,2.8,1,1
175,0.008,0.328,23.0,57.8,441.9,0.177,-0.063,0.299,3.0,1,1
176,0.003,0.324,21.7,57.7,442.1,0.178,-0.057,0.303,3.0,1,1
177,-0.014,0.344,21.1,57.5,442.2,0.182,-0.047,0.301,3.1,1,1
178,-0.007,0.339,21.3,56.5,439.1,0.166,-0.048,0.298,3.1,1,1
179,0.023,0.321,22.3,55.3,437.0,0.159,-0.06,0.289,3.8,1,1
180,0.02,0.323,23.5,54.0,434.5,0.137,-0.067,0.282,3.9,1,1
181,0.034,0.303,25.1,53.2,434.9,0.13,-0.083,0.272,4.2,1,1
182,0.043,0.282,26.4,52.5,433.9,0.126,-0.086,0.264,4.2,1,1
183,0.051,0.269,27.7,51.8,433.1,0.119,-0.094,0.252,4.0,1,1
184,0.093,0.241,29.0,50.3,432.0,0.1,-0.107,0.242,3.9,1,1
185,0.093,0.196,31.1,47.5,430.2,0.073,-0.116,0.202,4.9,1,1
186,0.054,0.251,32.4,42.5,424.0,0.044,-0.106,0.181,5.1,1,1
187,0.069,0.204,34.7,38.5,422.5,0.005,-0.116,0.166,5.5,1,1
188,0.094,0.194,37.4,35.1,423.1,-0.014,-0.131,0.149,5.8,1,1
189,0.098,0.167,39.5,32.0,423.9,-0.036,-0.147,0.138,6.4,1,1
190,0.083,0.151,40.7,29.6,427.0,-0.051,-0.158,0.13,6.3,1,1
191,0.075,0.132,40.9,27.7,427.5,-0.062,-0.16,0.126,5.8,1,1
192,0.101,0.11,41.0,26.3,430.2,-0.07,-0.165,0.119,5.9,1,1
193,0.086,0.13,40.4,25.2,429.6,-0.075,-0.158,0.113,5.3,1,1
194,0.068,0.128,39.7,24.9,429.0,-0.072,-0.151,0.105,5.5,1,1
195,0.068,0.144,38.9,24.7,429.8,-0.076,-0.146,0.101,5.5,1,1
196,0.053,0.155,37.8,24.3,429.0,-0.074,-0.138,0.089,5.4,1,1
197,0.063,0.14,36.7,25.0,431.2,-0.081,-0.133,0.08,6.1,1,1
198,0.057,0.149,35.5,26.6,432.1,-0.075,-0.124,0.073,6.6,1,1
199,0.04,0.161,34.3,27.9,430.8,-0.067,-0.107,0.062,6.0,1,1
200,0.07,0.137,32.9,29.6,434.5,-0.068,-0.087,0.071,4.7,1,1
201,0.065,0.165,31.2,31.5,432.2,-0.043,-0.108,0.096,4.8,1,1
202,0.068,0.168,30.1,33.6,430.4,-0.029,-0.088,0.087,4.7,1,1
203,0.051,0.145,28.7,34.3,429.6,-0.044,-0.092,0.102,4.8,1,1
204,0.042,0.131,27.7,34.4,430.9,-0.079,-0.093,0.108,4.5,1,1
205,0.037,0.125,26.5,34.5,429.9,-0.093,-0.086,0.108,4.3,1,1
206,0.057,0.107,25.3,34.6,428.5,-0.107,-0.08,0.106,4.0,1,1
207,0.041,0.099,24.2,34.2,426.7,-0.108,-0.066,0.102,4.3,1,1
208,0.042,0.099,23.2,34.3,427.1,-0.112,-0.054,0.098,3.9,1,1
209,0.03,0.105,22.3,34.6,429.7,-0.103,-0.044,0.094,4.0,1,1
210,0.026,0.115,21.4,34.3,430.2,-0.103,-0.038,0.091,4.1,1,1
211,0.033,0.106,20.5,33.6,428.9,-0.102,-0.03,0.088,4.2,1,1
212,0.025,0.109,20.0,33.4,428.8,-0.1,-0.026,0.086,4.1,1,1
213,0.025,0.115,19.6,33.2,428.4,-0.098,-0.027,0.085,4.1,1,1
214,0.026,0.112,19.1,32.8,428.3,-0.098,-0.029,0.086,4.0,1,1
215,0.021,0.1,18.8,32.7,428.4,-0.099,-0.031,0.083,4.1,1,1
216,0.017,0.121,18.5,32.7,428.5,-0.095,-0.029,0.081,4.1,1,1
217,0.024,0.124,18.1,32.5,427.5,-0.097,-0.033,0.08,4.2,1,1
218,0.02,0.123,17.7,32.1,426.9,-0.093,-0.032,0.077,4.3,1,1
219,0.022,0.131,17.5,32.1,426.4,-0.091,-0.032,0.075,4.1,1,1
220,0.022,0.125,17.2,32.2,426.1,-0.086,-0.034,0.075,4.3,1,1
221,0.026,0.123,17.1,32.0,425.9,-0.089,-0.036,0.074,4.5,1,1
222,0.027,0.129,17.0,31.9,426.1,-0.087,-0.036,0.072,4.5,1,1
223,0.035,0.135,17.1,31.9,426.6,-0.085,-0.04,0.068,4.5,1,1
224,0.033,0.15,17.3,31.9,426.9,-0.082,-0.041,0.066,4.6,1,1
225,0.02,0.156,17.4,31.9,426.6,-0.084,-0.046,0.064,4.6,1,1
226,0.052,0.127,17.5,32.0,425.5,-0.086,-0.054,0.063,4.6,1,1
227,0.059,0.14,17.6,32.3,424.7,-0.072,-0.058,0.06,4.8,1,1
228,0.059,0.135,17.6,32.5,424.5,-0.073,-0.059,0.058,4.4,1,1
229,0.055,0.162,17.4,32.6,423.6,-0.057,-0.056,0.054,4.0,1,1
230,0.032,0.182,17.2,33.3,422.7,-0.043,-0.053,0.048,5.0,1,1
231,-0.017,0.193,16.9,33.7,422.1,-0.026,-0.05,0.04,4.2,1,1
232,-0.035,0.161,16.5,33.6,422.9,-0.015,-0.043,0.034,3.8,1,1
233,-0.04,0.166,15.8,33.5,424.2,-0.015,-0.032,0.03,3.5,1,1
234,-0.022,0.153,15.0,33.7,425.4,-0.018,-0.019,0.028,3.5,1,1
235,-0.042,0.168,14.6,33.5,423.6,-0.028,-0.02,0.02,3.1,1,1
236,-0.026,0.129,14.6,33.4,419.3,-0.043,-0.042,0.01,3.4,1,1
237,-0.022,0.144,14.9,34.1,417.1,-0.033,-0.056,0.001,4.7,1,1
238,-0.019,0.137,15.0,34.0,417.7,-0.049,-0.06,0.002,3.7,1,1
239,0.023,0.114,14.5,33.5,415.7,-0.06,-0.059,0.01,4.0,1,1
240,0.001,0.108,13.6,33.0,416.7,-0.064,-0.04,0.025,3.5,1,1
241,-0.004,0.123,12.4,31.8,415.1,-0.062,-0.026,0.033,2.3,1,1
242,-0.016,0.122,11.3,31.2,417.0,-0.063,-0.018,0.035,2.5,1,1
243,-0.049,0.152,10.0,30.8,415.5,-0.049,-0.005,0.03,2.4,1,1
244,-0.026,0.152,9.1,30.9,413.5,-0.044,-0.005,0.022,2.5,1,1
245,-0.003,0.122,8.6,31.6,414.5,-0.045,-0.006,0.011,2.0,1,1
246,-0.026,0.162,8.4,31.8,416.0,-0.03,0.005,0.01,2.3,1,1
247,-0.03,0.171,7.6,31.7,416.0,-0.023,0.03,0.019,3.1,1,1
248,-0.029,0.173,6.8,31.8,417.9,-0.018,0.067,0.029,3.2,1,1
249,-0.058,0.177,6.5,31.8,418.2,-0.022,0.086,0.041,3.4,1,1
250,-0.055,0.169,6.6,32.0,418.5,-0.028,0.09,0.048,3.5,1,1
251,-0.059,0.157,6.7,32.1,419.2,-0.035,0.086,0.052,3.9,1,1
252,-0.076,0.142,7.0,32.3,421.6,-0.037,0.09,0.053,3.9,1,1
253,-0.087,0.159,7.2,32.2,423.0,-0.033,0.094,0.052,4.0,1,1
254,-0.094,0.166,7.4,32.0,424.0,-0.036,0.095,0.05,3.8,1,1
255,-0.102,0.173,7.4,31.8,423.6,-0.04,0.097,0.05,3.8,1,1
256,-0.105,0.159,7.4,31.6,424.5,-0.053,0.095,0.049,3.8,1,1
257,-0.096,0.163,7.5,31.6,424.7,-0.052,0.095,0.047,3.5,1,1
258,-0.084,0.164,7.8,31.8,425.3,-0.05,0.094,0.047,3.2,1,1
259,-0.081,0.17,8.3,32.5,424.4,-0.038,0.093,0.044,3.4,1,1
260,-0.042,0.154,9.2,33.8,425.3,-0.031,0.086,0.033,3.3,1,1
261,-0.056,0.169,10.1,35.0,425.6,-0.021,0.087,0.025,3.3,1,1
262,-0.063,0.167,11.0,36.0,425.8,-0.008,0.096,0.025,3.1,1,1
263,-0.081,0.192,12.0,36.7,426.2,-0.007,0.106,0.022,3.3,1,1
264,-0.074,0.169,12.9,36.9,427.0,-0.009,0.112,0.02,3.2,1,1
265,-0.093,0.18,13.8,37.1,427.1,-0.014,0.123,0.022,3.0,1,1
266,-0.092,0.183,14.6,37.0,427.3,-0.017,0.125,0.026,3.0,1,1
267,-0.106,0.21,15.4,36.9,427.7,-0.009,0.129,0.026,2.8,1,1
268,-0.083,0.218,16.2,36.8,426.5,-0.003,0.132,0.029,3.0,1,1
269,-0.088,0.247,17.1,37.0,427.9,-0.001,0.127,0.033,2.8,1,1
270,-0.048,0.257,17.9,37.0,427.7,0.001,0.114,0.037,2.7,1,1
271,-0.066,0.267,19.0,37.4,430.0,0.002,0.105,0.041,3.0,1,1
272,-0.027,0.262,20.0,37.6,431.1,0.002,0.085,0.04,2.8,1,1
273,-0.019,0.254,20.7,37.2,431.8,-0.011,0.065,0.04,2.9,1,1
274,-0.046,0.237,20.7,36.5,433.0,-0.021,0.052,0.036,3.0,1,1
275,-0.038,0.246,20.1,35.9,434.1,-0.022,0.045,0.031,2.9,1,1
276,-0.016,0.257,19.0,35.6,434.6,-0.014,0.045,0.027,3.1,1,1
277,-0.014,0.258,17.7,35.6,435.2,-0.006,0.045,0.029,3.4,1,1
278,-0.012,0.251,16.9,35.8,436.3,-0.0,0.04,0.024,3.0,1,1
279,0.012,0.25,16.6,35.9,434.4,0.003,0.029,0.022,3.2,1,1
280,0.025,0.26,16.7,36.5,436.4,0.002,0.012,0.019,3.3,1,1
281,0.03,0.26,17.0,36.7,436.5,0.005,-0.003,0.018,3.2,1,1
282,0.025,0.256,17.5,36.9,436.8,0.005,-0.015,0.018,3.4,1,1
283,0.047,0.253,18.0,37.2,435.7,0.002,-0.032,0.016,3.4,1,1
284,0.052,0.24,18.4,37.5,435.5,-0.0,-0.044,0.014,3.5,1,1
285,0.072,0.248,18.8,37.7,434.5,0.0,-0.052,0.013,3.7,1,1
286,0.073,0.252,19.0,37.9,433.8,-0.003,-0.057,0.015,3.9,1,1
287,0.05,0.245,19.3,38.3,434.8,-0.005,-0.059,0.019,3.8,1,1
288,0.076,0.238,19.4,38.4,433.9,-0.004,-0.063,0.022,3.8,1,1
289,0.091,0.241,19.6,38.4,434.6,-0.003,-0.064,0.025,4.0,1,1
290,0.088,0.241,19.8,38.4,434.8,-0.002,-0.069,0.028,3.9,1,1
291,0.112,0.256,19.9,38.4,434.9,0.002,-0.076,0.031,3.9,1,1
292,0.121,0.258,19.9,38.3,434.5,0.005,-0.083,0.033,4.1,1,1
293,0.124,0.256,20.0,38.2,434.2,0.003,-0.09,0.033,4.2,1,1
294,0.121,0.251,20.0,38.2,434.0,0.003,-0.093,0.033,4.3,1,1
295,0.115,0.261,20.0,38.1,432.8,0.005,-0.096,0.033,4.2,1,1
296,0.124,0.264,20.1,38.0,432.0,0.005,-0.098,0.033,4.3,1,1
297,0.129,0.257,20.3,38.0,431.8,0.004,-0.102,0.032,4.5,1,1
298,0.121,0.264,20.4,37.9,430.9,0.001,-0.105,0.033,4.4,1,1
299,0.129,0.271,20.6,37.8,430.4,0.002,-0.107,0.033,4.5,1,1
300,0.135,0.263,21.0,38.0,432.8,-0.001,-0.113,0.033,4.6,1,1
301,0.13,0.267,21.2,37.8,432.0,-0.001,-0.114,0.034,4.6,1,1
302,0.125,0.262,21.3,37.7,432.2,-0.002,-0.116,0.033,4.7,1,1
303,0.13,0.258,21.3,37.5,433.3,-0.006,-0.118,0.032,4.6,1,1
304,0.139,0.242,21.1,37.1,434.7,-0.011,-0.123,0.032,4.9,1,1
305,0.147,0.262,20.8,36.6,434.2,-0.014,-0.101,0.014,4.3,1,1
306,0.146,0.249,19.8,36.3,435.3,-0.021,-0.111,0.025,4.6,1,1
307,0.139,0.254,18.9,35.4,434.3,-0.022,-0.113,0.026,4.8,1,1
308,0.14,0.249,18.2,34.8,437.3,-0.027,-0.117,0.025,4.6,1,1
309,0.129,0.246,17.3,34.2,438.0,-0.024,-0.119,0.023,4.5,1,1
310,0.125,0.23,16.5,33.9,438.7,-0.031,-0.122,0.027,4.9,1,1
311,0.133,0.239,15.6,33.9,439.1,-0.031,-0.127,0.028,4.6,1,1
